Years	Size	Dist	Nitrogen	Mowing	Plot	F	G	L
2013	25	80.08	yes	yes	32	14.63	17.89	36.62
2013	400	123.01	yes	no	33	83.32	3.83	66.05
2013	100	235.2	no	yes	34	40.65	64.58	26.11
2013	400	45.14	no	yes	35	17.71	24.22	1.93
2013	25	9	no	yes	36	32.17	31.14	11.13
2014	100	230.05	no	yes	1	30.5	5.28	63.92
2014	100	252.93	yes	no	2	136.44	0.37	9.02
2014	25	294.76	no	yes	3	21.26	32.37	34.77
2014	100	82.89	yes	yes	4	77.66	17.21	49.75
2014	400	291.42	no	yes	5	55.05	9	26.04
2014	400	185.82	no	yes	6	100.93	14.56	23.75
2014	100	40.79	no	no	7	5.94	1.73	25.34
2014	400	224.8	yes	no	8	55.09	45.69	202.49
2014	25	83.2	no	no	9	94.37	1.64	23.2
2014	400	177.23	no	no	10	90.79	22.19	77.33
2014	100	30.71	no	yes	11	33.15	14.43	94.39
2014	25	57.45	yes	yes	12	112.85	35.76	25.56
2014	400	284.55	no	no	13	96.67	0	137.82
2014	400	108	yes	no	14	78.15	0.14	66.42
2014	25	22.02	yes	no	15	59.23	10.72	74.04
2014	25	278.06	no	yes	16	56.16	24.22	40.41
2014	100	239.85	yes	no	17	26.98	56.96	118.04
2014	25	189.38	no	no	18	135.59	1.44	99.09
2014	400	176	no	no	19	17.49	0.16	34.01
2014	25	119.94	no	no	20	267.52	0.59	92.83
2014	400	233.69	yes	yes	21	51.32	24.46	57.37
2014	400	311.26	yes	yes	22	34.84	44.88	50.55
2014	25	221.14	yes	no	23	19.14	52.81	71.62
2014	100	29.22	no	no	24	64.1	0.17	41.61
2014	400	327.6	yes	yes	25	25.31	47.43	54.61
2014	100	237.24	yes	yes	26	35.76	47.9	20.83
2014	100	146.3	yes	no	27	90.69	23.04	155.09
2014	25	7.83	yes	no	28	184.13	0	80.49
2014	100	277.35	yes	yes	29	115.89	56.78	58.37
2014	100	126.65	no	no	30	32.95	8.69	100.43
2014	25	18.47	yes	yes	31	40.15	22.66	92.32
2014	25	80.08	yes	yes	32	125.52	9.25	58.82
2014	400	123.01	yes	no	33	22.02	97.06	69.47
2014	100	235.2	no	yes	34	13.76	35.46	27.06
2014	400	45.14	no	yes	35	134.33	1.95	49.37
2014	25	9	no	yes	36	27.36	39.75	18.7
