Island		quadrat	plot	X.isl	Y.isl	X.quad	Y.quad	Dist.mainland
6		D	1	-80.36217591	43.371281	-80.36218589	43.37126187	185.82
6		D	2	-80.36217591	43.371281	-80.36218589	43.37126187	185.82
6		D	3	-80.36217591	43.371281	-80.36218589	43.37126187	185.82
6		D	4	-80.36217591	43.371281	-80.36218589	43.37126187	185.82
6		E	1	-80.36217591	43.371281	-80.36225777	43.3712645	185.82
6		E	2	-80.36217591	43.371281	-80.36225777	43.3712645	185.82
6		E	3	-80.36217591	43.371281	-80.36225777	43.3712645	185.82
6		E	4	-80.36217591	43.371281	-80.36225777	43.3712645	185.82
7		A	1	-80.36147977	43.37275399	-80.36144729	43.37271461	40.79
7		A	2	-80.36147977	43.37275399	-80.36144729	43.37271461	40.79
7		A	3	-80.36147977	43.37275399	-80.36144729	43.37271461	40.79
7		A	4	-80.36147977	43.37275399	-80.36144729	43.37271461	40.79
7		B	1	-80.36147977	43.37275399	-80.36140463	43.37273363	40.79
7		B	2	-80.36147977	43.37275399	-80.36140463	43.37273363	40.79
7		B	3	-80.36147977	43.37275399	-80.36140463	43.37273363	40.79
7		B	4	-80.36147977	43.37275399	-80.36140463	43.37273363	40.79
7		D	1	-80.36147977	43.37275399	-80.36145048	43.37274421	40.79
7		D	2	-80.36147977	43.37275399	-80.36145048	43.37274421	40.79
7		D	3	-80.36147977	43.37275399	-80.36145048	43.37274421	40.79
7		D	4	-80.36147977	43.37275399	-80.36145048	43.37274421	40.79
8		A	1	-80.3627289	43.37082544	-80.36261339	43.37077363	224.8
8		A	2	-80.3627289	43.37082544	-80.36261339	43.37077363	224.8
8		A	3	-80.3627289	43.37082544	-80.36261339	43.37077363	224.8
8		A	4	-80.3627289	43.37082544	-80.36261339	43.37077363	224.8
8		B	1	-80.3627289	43.37082544	-80.36258686	43.37081625	224.8
8		B	2	-80.3627289	43.37082544	-80.36258686	43.37081625	224.8
8		B	3	-80.3627289	43.37082544	-80.36258686	43.37081625	224.8
8		B	4	-80.3627289	43.37082544	-80.36258686	43.37081625	224.8
8		C	1	-80.3627289	43.37082544	-80.36276551	43.37075181	224.8
8		C	2	-80.3627289	43.37082544	-80.36276551	43.37075181	224.8
8		C	3	-80.3627289	43.37082544	-80.36276551	43.37075181	224.8
8		C	4	-80.3627289	43.37082544	-80.36276551	43.37075181	224.8
8		D	1	-80.3627289	43.37082544	-80.36266205	43.37083919	224.8
8		D	2	-80.3627289	43.37082544	-80.36266205	43.37083919	224.8
8		D	3	-80.3627289	43.37082544	-80.36266205	43.37083919	224.8
8		D	4	-80.3627289	43.37082544	-80.36266205	43.37083919	224.8
8		E	1	-80.3627289	43.37082544	-80.36271316	43.37089354	224.8
8		E	2	-80.3627289	43.37082544	-80.36271316	43.37089354	224.8
8		E	3	-80.3627289	43.37082544	-80.36271316	43.37089354	224.8
